Theodor Pallady,17,Constanta,Orhideelor,4,Bucuresti,Mercedes,Tourismo,52,5482
Viorelelor,4,Oradea,Constantin Brancoveanu,7,Brasov,Volvo,SC7,35,4728
Ion Creanga,2,Cluj,Mihai Bravu,23,Covasna,Irizar,i6,70,8293
Titu Maiorescu,16,Buzau,Mihail Sadoveanu,19,Bacau,Volvo,9700,55,9010
Crangasi,4,Suceava,Timpuri noi,32,Focsani,Scania,Century,70,5453
Scolii,8,Faurei,Prizonierilor,29,Mangalia,Iveco,Cygnus,65,3456
Dambovitei,71,Timisoara,Tudor Vladimirescu,67,Arad,Setra,S415,90,8210
Gheorghe Duca,10,Dambovita,Trapezului,6,Baia Mare,Mercedes,Citaro,67,7432
Gheorghe Costin,7,Galati,Dunarei,7,Braila,Ivenci,Cygnus,65,2341
Afinelor,60,Teleorman,Tudor Vladimirescu,4,Roman,Volvo,9700,55,9001
